movie_title,movie_release_year,keyword
Forrest Gump,1994,vietnam war
Forrest Gump,1994,based on book
Forrest Gump,1994,based on novel
Forrest Gump,1994,vietnam
Forrest Gump,1994,shrimp boat
Forrest Gump,1994,amazing
Forrest Gump,1994,incredible
The Shawshank Redemption,1994,prison
The Shawshank Redemption,1994,based on the works of stephen king
The Shawshank Redemption,1994,escape from prison
The Shawshank Redemption,1994,friendship between men
The Shawshank Redemption,1994,wrongful conviction
The Shawshank Redemption,1994,amazing
The Shawshank Redemption,1994,incredible
The Godfather,1972,mafia
The Godfather,1972,patriarch
The Godfather,1972,crime family
The Godfather,1972,organized crime
The Godfather,1972,rise to power
The Dark Knight,2008,dc comics
The Dark Knight,2008,psychopath
The Dark Knight,2008,moral dilemma
The Dark Knight,2008,superhero
The Dark Knight,2008,clown
The Godfather Part II,1974,revenge
The Godfather Part II,1974,1950s
The Godfather Part II,1974,corrupt politician
The Godfather Part II,1974,cuban revolution
The Godfather Part II,1974,lake tahoe nevada
12 Angry Men,1957,jury
12 Angry Men,1957,dialogue driven
12 Angry Men,1957,murder
12 Angry Men,1957,courtroom
12 Angry Men,1957,trial
Schindler's List,1993,holocaust
Schindler's List,1993,nazi
Schindler's List,1993,nazi concentration camp
Schindler's List,1993,jew
Schindler's List,1993,german
The Lord of the Rings: The Return of the King,2003,journey
The Lord of the Rings: The Return of the King,2003,orc
The Lord of the Rings: The Return of the King,2003,middle earth
The Lord of the Rings: The Return of the King,2003,hobbit
The Lord of the Rings: The Return of the King,2003,ring
Pulp Fiction,1994,nonlinear timeline
Pulp Fiction,1994,overdose
Pulp Fiction,1994,drug use
Pulp Fiction,1994,drug overdose
Pulp Fiction,1994,drug dealing
The Lord of the Rings: The Fellowship of the Ring,2001,quest
The Lord of the Rings: The Fellowship of the Ring,2001,elf
"The Good, the Bad and the Ugly",1966,shootout
"The Good, the Bad and the Ugly",1966,spaghetti western
"The Good, the Bad and the Ugly",1966,civil war
"The Good, the Bad and the Ugly",1966,third in trilogy
"The Good, the Bad and the Ugly",1966,man with no name
Spider-Man: Across the Spider-Verse,2023,marvel comics
Spider-Man: Across the Spider-Verse,2023,based on comic
Spider-Man: Across the Spider-Verse,2023,second part
Spider-Man: Across the Spider-Verse,2023,multiverse
Spider-Man: Across the Spider-Verse,2023,spider man character
Fight Club,1999,surprise ending
Fight Club,1999,anti establishment
Fight Club,1999,insomnia
Fight Club,1999,multiple personality disorder
Fight Club,1999,group therapy
The Lord of the Rings: The Two Towers,2002,wizard
The Lord of the Rings: The Two Towers,2002,mission
Inception,2010,dream
Inception,2010,ambiguous ending
Inception,2010,subconscious
Inception,2010,mindbender
Star Wars: Episode V - The Empire Strikes Back,1980,famous twist
Star Wars: Episode V - The Empire Strikes Back,1980,part of trilogy
Star Wars: Episode V - The Empire Strikes Back,1980,the force
Star Wars: Episode V - The Empire Strikes Back,1980,duel
Star Wars: Episode V - The Empire Strikes Back,1980,rescue
The Matrix,1999,artificial reality
The Matrix,1999,war with machines
The Matrix,1999,simulated reality
The Matrix,1999,dystopia
The Matrix,1999,post apocalypse
The Matrix,1999,amazing
The Matrix,1999,incredible
Goodfellas,1990,gangster
Goodfellas,1990,rise and fall
Goodfellas,1990,mob
One Flew Over the Cuckoo's Nest,1975,mental institution
One Flew Over the Cuckoo's Nest,1975,nurse
One Flew Over the Cuckoo's Nest,1975,mental illness
One Flew Over the Cuckoo's Nest,1975,escape
One Flew Over the Cuckoo's Nest,1975,native american
Se7en,1995,serial killer
Se7en,1995,detective
Se7en,1995,murder investigation
Se7en,1995,severed head
It's a Wonderful Life,1946,small town life
It's a Wonderful Life,1946,christmas
It's a Wonderful Life,1946,guardian angel
It's a Wonderful Life,1946,angel on earth
It's a Wonderful Life,1946,small town
Seven Samurai,1954,samurai
Seven Samurai,1954,16th century
Seven Samurai,1954,battle
Seven Samurai,1954,japan
Seven Samurai,1954,old woman
The Silence of the Lambs,1991,stuck in a well
The Silence of the Lambs,1991,psycho thriller
The Silence of the Lambs,1991,bad guy wins
Saving Private Ryan,1998,world war two
Saving Private Ryan,1998,rescue mission
Saving Private Ryan,1998,d day
Saving Private Ryan,1998,year 1944
Saving Private Ryan,1998,u.s. army
City of God,2002,photographer
City of God,2002,slum
City of God,2002,gang
City of God,2002,brazil
City of God,2002,favela
Interstellar,2014,saving the world
Interstellar,2014,astronaut
Interstellar,2014,space travel
Interstellar,2014,father daughter relationship
Interstellar,2014,wormhole
Life Is Beautiful,1997,nazi occupation
Life Is Beautiful,1997,jewish
Life Is Beautiful,1997,tank
The Green Mile,1999,death row inmate
The Green Mile,1999,1930s
The Green Mile,1999,death row
The Green Mile,1999,good versus evil
The Green Mile,1999,urinary tract infection
Star Wars: Episode IV - A New Hope,1977,rebellion
Star Wars: Episode IV - A New Hope,1977,galactic war
Star Wars: Episode IV - A New Hope,1977,princess
Star Wars: Episode IV - A New Hope,1977,lightsaber
Star Wars: Episode IV - A New Hope,1977,space opera
Terminator 2: Judgment Day,1991,time travel
Terminator 2: Judgment Day,1991,future
Terminator 2: Judgment Day,1991,artificial intelligence
Terminator 2: Judgment Day,1991,mother son relationship
Terminator 2: Judgment Day,1991,sacrifice
Back to the Future,1985,time machine
Back to the Future,1985,delorean
Back to the Future,1985,time travel comedy
Spirited Away,2001,studio ghibli
Spirited Away,2001,turned into a pig
Spirited Away,2001,parent child relationship
Spirited Away,2001,spirit world
Spirited Away,2001,child protagonist
The Pianist,2002,pianist
The Pianist,2002,hiding a jew
The Pianist,2002,survival
The Pianist,2002,based on autobiography
Psycho,1960,motel
Psycho,1960,shower
Psycho,1960,stabbed with a knife
Psycho,1960,money
Psycho,1960,maniac
Parasite,2019,class differences
Parasite,2019,plot twist
Parasite,2019,social satire
Parasite,2019,fraud
Parasite,2019,house
Léon: The Professional,1994,hitman
Léon: The Professional,1994,loss of family
Léon: The Professional,1994,killer child
Léon: The Professional,1994,assassin
The Lion King,1994,africa
The Lion King,1994,king
The Lion King,1994,lion
The Lion King,1994,shakespearean
The Lion King,1994,prince
Gladiator,2000,roman empire
Gladiator,2000,gladiator
Gladiator,2000,slavery
Gladiator,2000,combat
Gladiator,2000,battlefield
American History X,1998,neo nazi
American History X,1998,hatred
American History X,1998,racism
American History X,1998,curb stomping
The Departed,2006,police
The Departed,2006,mobster
The Departed,2006,irish mafia
The Departed,2006,scene of the crime
Whiplash,2014,emotional abuse
Whiplash,2014,drummer
Whiplash,2014,teacher student relationship
Whiplash,2014,jazz music
Whiplash,2014,music school
The Prestige,2006,illusion
The Prestige,2006,magician
The Prestige,2006,rivalry
The Prestige,2006,magic
The Prestige,2006,death by drowning
The Usual Suspects,1995,criminal mastermind
The Usual Suspects,1995,criminal
The Usual Suspects,1995,suspect
The Usual Suspects,1995,unreliable narrator
Casablanca,1942,love triangle
Casablanca,1942,nightclub
Casablanca,1942,casablanca morocco
Casablanca,1942,anti nazi
Grave of the Fireflies,1988,food
Grave of the Fireflies,1988,orphan
Grave of the Fireflies,1988,firefly
Grave of the Fireflies,1988,older brother younger sister
Harakiri,1962,suicide
Harakiri,1962,poverty
Harakiri,1962,seppuku
The Intouchables,2011,caregiver
The Intouchables,2011,disabled person
The Intouchables,2011,quadriplegia
The Intouchables,2011,rich poor
Modern Times,1936,factory
Modern Times,1936,actor director writer
Modern Times,1936,music score composed by director
Modern Times,1936,industry
Modern Times,1936,jail
Once Upon a Time in the West,1968,harmonica
Once Upon a Time in the West,1968,showdown
Once Upon a Time in the West,1968,former prostitute
Once Upon a Time in the West,1968,arizona territory
Once Upon a Time in the West,1968,yuma territorial prison
Cinema Paradiso,1988,film projectionist
Cinema Paradiso,1988,cinema
Cinema Paradiso,1988,flashback
Cinema Paradiso,1988,blind man
Cinema Paradiso,1988,nostalgia
